time,lat,lon,idx,io,isIndoor
2019-03-10T02:04:45.532Z,32.878386,-117.242313,144,building,1
2019-03-10T02:05:48.626Z,32.878386,-117.242313,145,building,1
2019-03-10T02:06:51.705Z,32.878386,-117.242313,146,building,1
2019-03-10T02:08:04.030Z,32.878386,-117.242313,147,building,1
2019-03-10T02:09:42.334Z,32.878386,-117.242313,148,building,1
2019-03-10T02:10:43.682Z,32.878389,-117.242305,149,building,1
2019-03-10T02:13:04.747Z,32.878386,-117.242313,150,building,1
2019-03-10T02:14:07.156Z,32.878383,-117.24231699999999,151,building,1
2019-03-10T02:15:10.294Z,32.878389,-117.242305,152,building,1
2019-03-10T02:16:53.115Z,32.878386,-117.242313,153,building,1
2019-03-10T02:18:33.394Z,32.878391,-117.24230700000001,154,building,1
2019-03-10T02:19:42.270Z,32.878393,-117.24230700000001,155,building,1
2019-03-10T02:21:12.155Z,32.878394,-117.24230800000001,156,building,1
2019-03-10T02:22:14.457Z,32.878386,-117.242313,157,building,1
2019-03-10T02:23:17.496Z,32.878386,-117.242313,158,building,1
2019-03-10T02:24:52.527Z,32.878386,-117.242313,159,building,1
2019-03-10T02:25:53.576Z,32.878389,-117.242306,160,building,1
2019-03-10T02:26:55.164Z,32.878386,-117.242313,161,building,1
2019-03-10T02:27:58.192Z,32.878386,-117.242313,162,building,1
2019-03-10T02:28:59.149Z,32.878393,-117.24230700000001,163,building,1
2019-03-10T02:30:35.688Z,32.878386,-117.242313,164,building,1
2019-03-10T02:31:50.365Z,32.878388,-117.24230700000001,165,building,1
2019-03-10T02:33:33.680Z,32.878388,-117.24230700000001,166,building,1
2019-03-10T02:34:36.771Z,32.878386,-117.242313,167,building,1
2019-03-10T02:36:14.438Z,32.878389,-117.24231100000002,168,building,1
2019-03-10T02:37:36.951Z,32.878394,-117.24230800000001,169,building,1
2019-03-10T02:38:57.847Z,32.878389,-117.242306,170,building,1
2019-03-10T02:40:36.660Z,32.87839,-117.242305,171,building,1
2019-03-10T02:41:37.702Z,32.878395000000005,-117.24230800000001,172,building,1
2019-03-10T02:42:57.581Z,32.87839,-117.24230700000001,173,building,1
2019-03-10T02:43:59.837Z,32.878393,-117.242306,174,building,1
2019-03-10T02:45:01.994Z,32.878383,-117.24231699999999,175,building,1
