time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation,idx,io,isIndoor
2019-03-10T08:28:42.176Z,32.878386,-117.242313,0,20.0,0,0,0,network,,,,,,,,82,,23,building,1
2019-03-10T08:29:51.672Z,32.87839,-117.24231100000002,0,21.229,0,0,0,network,,,,,,,,82,,24,building,1
2019-03-10T08:31:24.775Z,32.87839,-117.24231100000002,0,21.394000000000002,0,0,0,network,,,,,,,,82,,25,building,1
2019-03-10T08:32:26.403Z,32.878392,-117.24231,0,21.093000000000004,0,0,0,network,,,,,,,,82,,26,building,1
2019-03-10T08:33:45.049Z,32.878389,-117.24231100000002,0,21.435,0,0,0,network,,,,,,,,82,,27,building,1
2019-03-10T08:34:47.362Z,32.878396,-117.242309,0,20.906999999999996,0,0,0,network,,,,,,,,82,,28,building,1
2019-03-10T08:36:30.080Z,32.878391,-117.242309,0,21.33,0,0,0,network,,,,,,,,82,,29,building,1
2019-03-10T08:37:32.441Z,32.87839,-117.24231100000002,0,21.233,0,0,0,network,,,,,,,,82,,30,building,1
2019-03-10T08:38:44.917Z,32.878396,-117.242309,0,20.909000000000002,0,0,0,network,,,,,,,,82,,31,building,1
2019-03-10T08:39:46.434Z,32.878392,-117.24231,0,21.104,0,0,0,network,,,,,,,,82,,32,building,1
2019-03-10T08:41:25.885Z,32.878388,-117.24231,0,20.594,0,0,0,network,,,,,,,,82,,33,building,1
2019-03-10T08:42:28.738Z,32.878397,-117.242309,0,20.906999999999996,0,0,0,network,,,,,,,,82,,34,building,1
2019-03-10T08:43:44.514Z,32.87839,-117.242309,0,21.342,0,0,0,network,,,,,,,,82,,35,building,1
2019-03-10T08:44:56.703Z,32.878388,-117.24230800000001,0,20.934,0,0,0,network,,,,,,,,82,,36,building,1
2019-03-10T08:46:07.565Z,32.87839,-117.242309,0,21.33,0,0,0,network,,,,,,,,82,,37,building,1
2019-03-10T08:47:22.519Z,32.878388,-117.24230700000001,0,20.795,0,0,0,network,,,,,,,,82,,38,building,1
2019-03-10T08:48:45.163Z,32.878386,-117.242313,0,20.0,0,0,0,network,,,,,,,,82,,39,building,1
2019-03-10T08:50:27.250Z,32.878388,-117.24230700000001,0,20.82,0,0,0,network,,,,,,,,82,,40,building,1
2019-03-10T08:51:29.511Z,32.878391,-117.24230800000001,0,21.268,0,0,0,network,,,,,,,,82,,41,building,1
2019-03-10T08:52:31.876Z,32.87839,-117.242309,0,21.34,0,0,0,network,,,,,,,,82,,42,building,1
2019-03-10T08:53:44.686Z,32.878386,-117.242313,0,20.0,0,0,0,network,,,,,,,,82,,43,building,1
2019-03-10T08:54:53.396Z,32.878391,-117.24230800000001,0,21.256,0,0,0,network,,,,,,,,82,,44,building,1
2019-03-10T08:56:13.061Z,32.878392,-117.24231100000002,0,21.099,0,0,0,network,,,,,,,,82,,45,building,1
2019-03-10T08:57:14.198Z,32.878389,-117.242309,0,21.518,0,0,0,network,,,,,,,,82,,46,building,1
2019-03-10T08:58:45.640Z,32.878396,-117.242309,0,20.925,0,0,0,network,,,,,,,,82,,47,building,1
2019-03-10T09:00:12.213Z,32.878386,-117.242313,0,20.0,0,0,0,network,,,,,,,,82,,48,building,1
2019-03-10T09:01:29.790Z,32.878381,-117.242313,0,21.631999999999998,0,0,0,network,,,,,,,,82,,49,building,1
2019-03-10T09:02:31.865Z,32.878389,-117.242309,0,21.515,0,0,0,network,,,,,,,,82,,50,building,1
