time,latitude,longitude,isDataPoint,within15(M),distanceFromSensor(M),distanceFromSupercomputerSensor(M),insideOutsideVal,locationType:
2019-03-22_ioT11:53,32.880609299999996,-117.2371797,TRUE,0,2197.4383,478.28317,Outside,highway
2019-03-22_ioT11:54,32.8806142,-117.23719369999999,TRUE,0,2198.8349,477.15274,Outside,highway
2019-03-22_ioT11:55,32.880647499999995,-117.2371658,TRUE,0,2198.6092,475.2864,Outside,highway
2019-03-22_ioT11:56,32.880647499999995,-117.2371658,FALSE,0,2198.6092,475.2864,Outside,highway
2019-03-22_ioT11:57,32.8806804,-117.23704840000002,TRUE,0,2191.3209,477.88569,Outside,highway
2019-03-22_ioT11:58,32.8806804,-117.23704840000002,FALSE,0,2191.3209,477.88569,Outside,highway
2019-03-22_ioT11:59,32.8806804,-117.23704840000002,FALSE,0,2191.3209,477.88569,Outside,highway
2019-03-22_ioT12:00,32.8806804,-117.23704840000002,FALSE,0,2191.3209,477.88569,Outside,highway
2019-03-22_ioT12:01,32.8806804,-117.23704840000002,FALSE,0,2191.3209,477.88569,Outside,highway
2019-03-22_ioT12:02,32.880641600000004,-117.23709,TRUE,0,2192.2799,479.50606,Outside,highway
2019-03-22_ioT12:03,32.880641600000004,-117.23709,FALSE,0,2192.2799,479.50606,Outside,highway
2019-03-22_ioT12:04,32.880641600000004,-117.23709,FALSE,0,2192.2799,479.50606,Outside,highway
2019-03-22_ioT12:05,32.880641600000004,-117.23709,FALSE,0,2192.2799,479.50606,Outside,highway
2019-03-22_ioT12:06,32.880641600000004,-117.23709,FALSE,0,2192.2799,479.50606,Outside,highway
2019-03-22_ioT12:07,32.881152,-117.2377127,TRUE,0,2271.8535,401.24462,Outside,amenity
2019-03-22_ioT12:08,32.881152,-117.2377127,FALSE,0,2271.8535,401.24462,Outside,amenity
2019-03-22_ioT12:09,32.881144899999995,-117.23765209999999,TRUE,0,2266.6721,404.67313,Outside,amenity
2019-03-22_ioT12:10,32.881144899999995,-117.23765209999999,FALSE,0,2266.6721,404.67313,Outside,amenity
2019-03-22_ioT12:11,32.8811738,-117.2377116,TRUE,0,2273.0827,399.1676,Outside,amenity
2019-03-22_ioT12:12,32.8811376,-117.23773329999999,TRUE,0,2272.6027,401.73688,Outside,amenity
2019-03-22_ioT12:13,32.8811376,-117.23773329999999,FALSE,0,2272.6027,401.73688,Outside,amenity
2019-03-22_ioT12:14,32.8811376,-117.23773329999999,FALSE,0,2272.6027,401.73688,Outside,amenity
2019-03-22_ioT12:15,32.8811376,-117.23773329999999,FALSE,0,2272.6027,401.73688,Outside,amenity
2019-03-22_ioT12:16,32.8811376,-117.23773329999999,FALSE,0,2272.6027,401.73688,Outside,amenity
2019-03-22_ioT12:17,32.8811511,-117.2376443,TRUE,0,2266.4352,404.42878,Outside,amenity
2019-03-22_ioT12:18,32.8811511,-117.2376443,FALSE,0,2266.4352,404.42878,Outside,amenity
2019-03-22_ioT12:19,32.8811511,-117.2376443,FALSE,0,2266.4352,404.42878,Outside,amenity
