time,lat,lon,elevation,accuracy,bearing,speed,satellites,idx,io,isIndoor
2019-03-05T10:20:54.584Z,32.878351,-117.24230800000001,0,21.263,0.0,0.0,0,122,building,1
2019-03-05T10:21:55.651Z,32.878352,-117.24230800000001,0,21.453000000000003,0.0,0.0,0,123,building,1
2019-03-05T10:22:56.740Z,32.878352,-117.24230800000001,0,22.119,0.0,0.0,0,124,building,1
2019-03-05T10:23:57.783Z,32.878341,-117.242299,0,20.0,0.0,0.0,0,125,building,1
2019-03-05T10:25:29.020Z,32.878352,-117.24230800000001,0,21.458000000000002,0.0,0.0,0,126,building,1
2019-03-05T10:26:30.072Z,32.878347,-117.24230800000001,0,21.022,0.0,0.0,0,127,building,1
2019-03-05T10:27:31.208Z,32.878351,-117.24231,0,21.171999999999997,0.0,0.0,0,128,building,1
2019-03-05T10:28:32.522Z,32.878347999999995,-117.242306,0,21.168000000000003,0.0,0.0,0,129,building,1
2019-03-05T10:29:53.487Z,32.878357,-117.242306,0,21.427,0.0,0.0,0,130,building,1
2019-03-05T10:31:12.270Z,32.878351,-117.24230800000001,0,21.453000000000003,0.0,0.0,0,131,building,1
2019-03-05T10:32:13.354Z,32.878351,-117.24231,0,21.164,0.0,0.0,0,132,building,1
2019-03-05T10:33:35.970Z,32.878356,-117.242305,0,21.398000000000003,0.0,0.0,0,133,building,1
2019-03-05T10:34:37.006Z,32.878351,-117.24230800000001,0,21.250999999999998,0.0,0.0,0,134,building,1
2019-03-05T10:36:10.901Z,32.878357,-117.242306,0,22.160999999999998,0.0,0.0,0,135,building,1
2019-03-05T10:37:12.031Z,32.878351,-117.24230800000001,0,21.441999999999997,0.0,0.0,0,136,building,1
2019-03-05T10:38:13.160Z,32.878351,-117.24230800000001,0,21.45,0.0,0.0,0,137,building,1
2019-03-05T10:39:53.497Z,32.878349,-117.242304,0,21.485,0.0,0.0,0,138,building,1
2019-03-05T10:41:32.926Z,32.878347,-117.242309,0,21.267,0.0,0.0,0,139,building,1
2019-03-05T10:42:34.346Z,32.878347999999995,-117.242305,0,21.018,0.0,0.0,0,140,building,1
2019-03-05T10:43:35.500Z,32.878356,-117.242305,0,21.404,0.0,0.0,0,141,building,1
2019-03-05T10:45:14.271Z,32.878353000000004,-117.24230700000001,0,21.362,0.0,0.0,0,142,building,1
2019-03-05T10:46:31.419Z,32.878351,-117.24230800000001,0,21.449,0.0,0.0,0,143,building,1
2019-03-05T10:47:34.393Z,32.878357,-117.242306,0,21.4,0.0,0.0,0,144,building,1
